Date,Open,High,Low,Close,Adj Close,Volume
2020-11-13,47.810001,49.250000,47.730000,49.000000,48.776875,17032600
2020-11-16,49.400002,49.750000,49.250000,49.540001,49.314419,19426600
2020-11-17,49.189999,49.990002,48.980000,49.779999,49.553322,19426000
2020-11-18,49.599998,50.380001,49.040001,49.139999,48.916237,18279200
2020-11-19,49.209999,49.740002,49.000000,49.480000,49.254688,13484500
2020-11-20,49.279999,49.680000,49.099998,49.169998,48.946098,19830000
2020-11-23,49.090000,49.980000,48.790001,49.810001,49.583187,14676800
2020-11-24,50.000000,52.490002,49.919998,52.340000,52.101665,31754000
2020-11-25,52.169998,52.200001,50.779999,51.799999,51.564125,19322100
2020-11-27,51.310001,52.209999,51.310001,51.750000,51.514355,6243700
2020-11-30,51.130001,51.480000,49.840000,50.240002,50.011230,34359800
2020-12-01,50.750000,51.270000,50.110001,51.020000,50.787678,14370000
2020-12-02,50.930000,51.340000,50.810001,51.049999,50.817539,14438000
2020-12-03,50.770000,51.720001,50.680000,51.590000,51.355083,14677200
2020-12-04,51.750000,51.910000,51.490002,51.689999,51.454624,12258100
2020-12-07,51.580002,52.020000,51.240002,51.930000,51.693535,12195900
2020-12-08,51.299999,51.799999,51.209999,51.410000,51.175903,13352400
2020-12-09,51.619999,52.360001,51.150002,51.259998,51.026585,17327400
2020-12-10,51.279999,51.279999,50.250000,50.480000,50.250137,17304100
2020-12-11,50.570000,51.110001,50.130001,50.930000,50.698086,19640200
2020-12-14,50.849998,51.270000,50.750000,50.990002,50.757816,14005700
2020-12-15,51.380001,52.099998,51.299999,51.509998,51.275444,18870100
2020-12-16,51.680000,52.070000,51.009998,51.430000,51.195812,13129800
2020-12-17,51.540001,51.880001,51.080002,51.360001,51.126129,13464900
2020-12-18,51.560001,51.599998,50.400002,50.900002,50.668224,31640400
2020-12-21,50.520000,50.650002,49.480000,50.369999,50.140636,19672400
2020-12-22,50.000000,50.310001,49.799999,50.020000,49.792233,13739800
2020-12-23,50.150002,50.270000,49.650002,50.040001,49.812141,12934200
2020-12-24,50.200001,50.439999,50.090000,50.380001,50.150593,3875300
2020-12-28,50.779999,51.360001,50.529999,51.110001,50.877270,13510700
2020-12-29,51.160000,51.730000,51.040001,51.549999,51.315262,11245200
2020-12-30,51.689999,51.930000,51.189999,51.209999,50.976810,9954000
2020-12-31,51.360001,52.480000,51.240002,52.400002,52.161396,11651200
2021-01-04,52.279999,52.400002,49.619999,50.509998,50.279999,22302100
2021-01-05,50.160000,50.299999,49.200001,49.980000,49.980000,17854600
2021-01-06,49.119999,50.770000,49.099998,50.560001,50.560001,22552600
2021-01-07,50.200001,50.980000,50.099998,50.660000,50.660000,20230800
2021-01-08,50.360001,51.660000,50.310001,51.540001,51.540001,22140400
2021-01-11,51.740002,51.740002,50.730000,51.520000,51.520000,18795700
2021-01-12,51.290001,51.549999,49.610001,50.009998,50.009998,20999500
2021-01-13,49.619999,50.380001,49.520000,50.160000,50.160000,16227000
2021-01-14,50.160000,50.270000,49.439999,49.580002,49.580002,18806000
2021-01-15,49.209999,49.259998,48.150002,48.689999,48.689999,25973100
2021-01-19,48.669998,49.090000,48.310001,48.849998,48.849998,18946300
2021-01-20,48.990002,49.169998,48.660000,48.880001,48.880001,15814200
2021-01-21,48.500000,49.270000,48.240002,49.130001,49.130001,22605200
2021-01-22,48.840000,48.939999,48.259998,48.680000,48.680000,13960700
2021-01-25,48.500000,49.130001,48.320000,48.970001,48.970001,16328400
2021-01-26,49.150002,50.209999,48.880001,50.090000,50.090000,23562200
2021-01-27,49.470001,50.230000,48.320000,48.419998,48.419998,24670000
2021-01-28,50.000000,52.290001,49.779999,51.599998,51.599998,29163100
2021-01-29,50.310001,51.200001,49.490002,49.570000,49.570000,27479500
2021-02-01,49.860001,50.360001,49.099998,50.150002,50.150002,16865700
2021-02-02,50.349998,51.480000,50.070000,51.180000,51.180000,17361400
